,name,GCC(TBB),NVC(OMP),PP,INTERPRET
0,B4_1,24871,3495,0.24642177254459563,BAD
1,B4_2_already_sorted,2106,412,0.3272438443208896,BAD
2,B4_2_decrement_sorted,263,388,0.8079877112135178,BAD
3,B4_2_not_sorted,1135,520,0.6283987915407855,BAD
4,b4_3_one_empty,34759,48986,0.8301152307600455,BAD
5,b4_3_wholly_greater,34482,5066,0.256195003540002,BAD
6,b4_3_front_overhang,5775,4413,0.8663133097762072,GOOD
7,b4_4_left_empty,7805510000,7117590000,0.9539023393262794,GOOD
8,b4_4_right_empty,33956,46734,0.8416408476886851,BAD
9,b4_4_wholly_greater,69795,7506,0.19420188613342648,BAD
10,b4_4_intersected,63721,6698,0.19023274968403414,BAD
