,name,GCC(TBB),NVC(OMP),PP,Percentage,INTERPRET
0,b7_1_copy - std::copy,6996920,11875000,0.7415164964667083,0.7415164964667083,BAD
1,b7_1_copy - std::foreach,11245700,13377500,0.9134231131615712,0.9134231131615712,GOOD
2,b7_2_all_of_all_true - std::all_of,2575730,5723150,0.6207415940464255,0.6207415940464255,BAD
3,b7_2_all_of_all_true - std::transform_reduce,2564070,1992120,0.8744674826993607,0.8744674826993607,GOOD
4,b7_2_all_of_first_false - std::all_of,8960,114502,0.14514587484408156,0.14514587484408156,BAD
5,b7_2_all_of_first_false - std::transform_reduce,2534260,4033280,0.771753198305606,0.771753198305606,BAD
6,b7_2_all_of_last_false - std::all_of,2178100,6630150,0.4945590781369738,0.4945590781369738,BAD
7,b7_2_all_of_last_false - std::transform_reduce,2560950,3153820,0.8962565422580436,0.8962565422580436,GOOD
8,b7_2_all_of_auto_false - std::all_of,6340,27676,0.3727657572906867,0.3727657572906867,BAD
9,b7_2_all_of_auto_false - std::transform_reduce,564423,12903,0.04469918209122749,0.04469918209122749,BAD
10,b7_3_count_if_all_hit - std::count_if,2546500,1574570,0.7641559109648708,0.7641559109648708,BAD
11,b7_3_count_if_all_hit - std::transform_reduce,2565350,1374230,0.697653049309825,0.697653049309825,BAD
12,b7_3_count_if_half_hit - std::count_if,2548780,1437970,0.7213745532074999,0.7213745532074999,BAD
13,b7_3_count_if_half_hit - std::transform_reduce,2566250,1353190,0.6905017043251077,0.6905017043251077,BAD
14,b7_3_count_if_orders_struct - std::count_if,5189200,2735660,0.6903995780367098,0.6903995780367098,BAD
15,b7_3_count_if_orders_struct - std::transform_reduce,5237930,2501340,0.6464020508394203,0.6464020508394203,BAD
16,b7_4_stencil_transform - std::transform,18016100,8814720,0.657059307169889,0.657059307169889,BAD
17,b7_4_stencil_transform - std::for_each,18272200,10003300,0.7075595480186027,0.7075595480186027,BAD
18,b7_5_scalar_transform - std::transform,8708020,5641720,0.7863166858772355,0.7863166858772355,BAD
19,b7_5_scalar_transform - std::for_each,12078800,7629640,0.7742510315377575,0.7742510315377575,BAD
20,b7_6_transform_reduce - std::transform_reduce,7880270,3886710,0.6606130035064223,0.6606130035064223,BAD
21,b7_6_transform_reduce - serial,107503000,107470000,0.9998464923502022,0.9998464923502022,GOOD
