,name,GCC(TBB),NVC(OMP),PP,INTERPRET
0,B4_1,29450,5057,0.2930999507346336,BAD
1,B4_2_already_sorted,18922,342,0.03550664451827243,BAD
2,B4_2_decrement_sorted,16361,329,0.03942480527261834,BAD
3,B4_2_not_sorted,14829,332,0.043796583338829895,BAD
4,b4_3_one_empty,37442,48912,0.8671746531718275,GOOD
5,b4_3_wholly_greater,37904,6635,0.2979411302454029,BAD
6,b4_3_front_overhang,8189,4193,0.6772734614763366,BAD
7,b4_4_left_empty,5286200000,5336270000,0.9952864070220956,GOOD
8,b4_4_right_empty,37808,47666,0.8846666822659522,GOOD
9,b4_4_wholly_greater,75238,7623,0.183994882996826,BAD
10,b4_4_intersected,79609,7508,0.1723658987338866,BAD
