,name,PP
0,Serial vs Direct Call - Direct,0.6106993262999748
1,Serial vs Direct Call - Serial,0.8981808086085025
2,Scalar transform Logic - std::for_each,0.9767661494579086
3,Scalar transform Logic - std::transform,0.8980462588851009
4,Stencil transform Logic - std::for_each,0.7789074740809364
5,Stencil transform Logic - std::transform,0.5478094430953993
6,Count_if Logic - std::transform_reduce,0.7524084786107537
7,Count_if Logic - std::count_if,0.674583264501408
8,All_of Logic - std::transform_reduce,0.6718762599361996
9,All_of Logic - std::all_of,0.47725269836923145
10,b7_1_copy - std::copy,0.9254349541705568
11,b7_1_copy - std::foreach,0.9737279736170377
