,name,GCC(TBB),NVC(OMP),PP,Percentage,INTERPRET
0,b7_1_copy - std::copy,7176600,8333080,0.9254349541705568,0.9254349541705568,GOOD
1,b7_1_copy - std::foreach,9852350,9347920,0.9737279736170377,0.9737279736170377,GOOD
2,b7_2_all_of_all_true - std::all_of,2942250,10904100,0.4249856460366811,0.4249856460366811,BAD
3,b7_2_all_of_all_true - std::transform_reduce,3102490,2189980,0.8275833401039591,0.8275833401039591,BAD
4,b7_2_all_of_first_false - std::all_of,25988,77096,0.5042101587055217,0.5042101587055217,BAD
5,b7_2_all_of_first_false - std::transform_reduce,3112660,2169380,0.8214174826392834,0.8214174826392834,BAD
6,b7_2_all_of_last_false - std::all_of,2585130,11056900,0.3789949149796621,0.3789949149796621,BAD
7,b7_2_all_of_last_false - std::transform_reduce,3055860,2245940,0.84723678750613,0.84723678750613,BAD
8,b7_2_all_of_auto_false - std::all_of,23298,54256,0.600820073755061,0.600820073755061,BAD
9,b7_2_all_of_auto_false - std::transform_reduce,227071,24012,0.1912674294954258,0.1912674294954258,BAD
10,b7_3_count_if_all_hit - std::count_if,3093880,1564280,0.6716299998282584,0.6716299998282584,BAD
11,b7_3_count_if_all_hit - std::transform_reduce,3002880,2189070,0.8432554242625603,0.8432554242625603,BAD
12,b7_3_count_if_half_hit - std::count_if,3163070,2030190,0.7818557129818265,0.7818557129818265,BAD
13,b7_3_count_if_half_hit - std::transform_reduce,3006580,2278980,0.8623419278184336,0.8623419278184336,GOOD
14,b7_3_count_if_orders_struct - std::count_if,6205540,2475140,0.5702640806941393,0.5702640806941393,BAD
15,b7_3_count_if_orders_struct - std::transform_reduce,6135470,2336760,0.5516280837512674,0.5516280837512674,BAD
16,b7_4_stencil_transform - std::transform,13159700,4964230,0.5478094430953993,0.5478094430953993,BAD
17,b7_4_stencil_transform - std::for_each,13042300,8319390,0.7789074740809364,0.7789074740809364,BAD
18,b7_5_scalar_transform - std::transform,6598780,5377730,0.8980462588851009,0.8980462588851009,GOOD
19,b7_5_scalar_transform - std::for_each,9215100,9653490,0.9767661494579086,0.9767661494579086,GOOD
20,b7_6_transform_reduce - std::transform_reduce,8766390,3853470,0.6106993262999748,0.6106993262999748,BAD
21,b7_6_transform_reduce - serial,99804100,122432000,0.8981808086085025,0.8981808086085025,GOOD
